Name,URL,Tagline,Content,Categories,Logo,Slug,Featured
Candidate Search AI,https://www.candidatesearch.ai/,AI powered candidate search engine for your ATS,"Connect your ATS and search your candidate database using natural language — context-aware, intuitive and lightning fast.

No more Boolean strings or rigid keyword rules. Just describe what you need, and our AI understands the full context — skills, experience, industry, and intent. It’s like talking to your smartest sourcer, not querying a database.

Message us to get early access.",Sourcing & Search,https://media.licdn.com/dms/image/v2/D4D0BAQG3pIF1ETZrnA/company-logo_200_200/B4DZdVqqpFH4AI-/0/1749488938102?e=1759363200&v=beta&t=KL7wSmx8UIoov-9AKD4a229aTLDzHUrAFZLiz8rAQLg,candidae-search-ai,TRUE
AI Resume Builder by Candidately,https://www.candidately.com/ai-resume-builder,Reformat your candidate's resume into a branded PDF or Word file in seconds.,https://docs.google.com/document/d/1cdBK5mgnujv6WydQWCT2WIk1pJyHsq99Nbufw-LqIj0/edit?usp=sharing,Candidate Presentation,https://imagizer.imageshack.com/img922/4267/b8R7Sd.png,ai-resume-builder-candidately,TRUE
Client Portal by Candidately,https://www.candidately.com/client-portal,"Submit candidates via a magic link, allowing client to review and collaborate in one place.",https://docs.google.com/document/d/1jDOQHO0oaldG_jQfk3sPudYZ-qwn3NFwpiAxBrlNlVM/edit?usp=sharing,Candidate Presentation,https://i.postimg.cc/hGcGxHvb/candidately-logo.jpg,client-portal-candidately,TRUE
Talent Marketplace by Candidately,https://www.candidately.com/talent-marketplace,Launch a talent marketplace to showcase candidates on your website.,https://docs.google.com/document/d/1pjGaXLeo7oDSi2GGa_nSewAFBBL0C_Ua0C9pRmdyin8/edit?usp=sharing,Redeployment,https://i.postimg.cc/hGcGxHvb/candidately-logo.jpg,talent-marketplace-candidately,TRUE
Glider AI,https://glider.ai/,Skills Platform | Make Hiring Fair & Opportunity Accessible!,"Glider AI is a leading Skills Validation Platform recognized among the Top 50 AI Software by G2 and honored by SIA as the Most Innovative HR Technology. It empowers employers and staffing firms to screen, assess, interview, and upskill talent with confidence. Trusted by global brands like Intuit, Amazon, and Capital One, Glider ensures talent quality and fit across all roles and industries, from full-time positions to contingent staffing programs. On average, customers experience a 3x increase in placement rates, a 50% reduction in time-to-fill, and a 98% improvement in candidate satisfaction. To learn more, visit Glider AI.",Interviewing,https://media.licdn.com/dms/image/v2/C4E0BAQHUPIR6pwgZ7w/company-logo_200_200/company-logo_200_200/0/1630648590497/gliderai_logo?e=1759363200&v=beta&t=Je02CX0q8QYrA0Adc6frj74tuwcgGvo-JJpJHG2F4tg,glider-ai,FALSE
Vente AI,https://www.vente.ai/,"Recruiters find more clients in less time, with Vente AI","Vente is the #1 business development platform for recruiters, using AI to surface high-converting client opportunities by analyzing over 20 recruitment-specific datapoints. It identifies hiring managers, reveals pain points in internal TA teams, and delivers job vacancy insights—so you can spec CVs, discover prospects, and win new clients in minutes, not hours.",Sales & Marketing,https://media.licdn.com/dms/image/v2/D4E0BAQF3Yyn8LQ1Mzg/company-logo_200_200/company-logo_200_200/0/1725891657035/vente_ai_logo?e=1759363200&v=beta&t=tmKKEvJjl5NIhGieGvnBzVnm_7r9efpdIQm41btk5LA,venteai,FALSE
IntelAgree,https://www.intelagree.com/,Your Contracts. Evolved.,"IntelAgree is an AI-powered Contract Lifecycle Management (CLM) platform designed to help legal teams focus on impactful work instead of busy work. Using advanced machine learning algorithms, IntelAgree reads and understands key terms and clauses in contracts—whether they're your own or third-party documents. The platform streamlines every stage of the contract process, enabling teams to efficiently and automatically create, negotiate, sign, manage, and analyze contracts with ease.",Sales & Marketing,https://media.licdn.com/dms/image/v2/D4E0BAQFhhXghM3mh0w/company-logo_200_200/company-logo_200_200/0/1704425256022/intelagree_logo?e=1759363200&v=beta&t=fZGYfVkDWJWLJzIdbedKNUps1O_LMT4V88jgCvr4KoU,intelagree,FALSE
interviewstream,https://interviewstream.com/,Interviews Simplified. Hiring Transformed. | SOC 2 Type 2 Certified.,"interviewstream simplifies the hiring process with a powerful video interviewing and scheduling platform. By streamlining scheduling, enhancing the candidate experience, and reducing time-to-hire, interviewstream allows hiring teams to focus on what matters most—the candidates. Trusted by over 900 organizations, including emerging businesses, midsize companies, large enterprises, colleges, and universities, interviewstream is committed to delivering meaningful results for every client.",Interviewing,https://media.licdn.com/dms/image/v2/C560BAQFSYN9yQWfkog/company-logo_200_200/company-logo_200_200/0/1630625832116/interviewstream_logo?e=1759363200&v=beta&t=LJQ-v3PBJ8-UiYVPFciVS4dV_mHyffWW7UMzo_B4PCk,interviewstream,FALSE
Nebula,https://signup.nebula.io/,Connect with a Universe of Talent + Skills and Build Stellar Teams @ Scale.,"Nebula is a modern talent management solution that revolutionizes recruitment by eliminating outdated job postings and poor candidate matches. With access to over 180 million professional profiles, its AI-driven platform streamlines the recruiting process, from generating job descriptions to building candidate shortlists. Nebula also features ByeBias™, a patented solution that removes hiring bias, ensuring equitable and accurate hiring decisions every time. Simplify and elevate your recruitment efforts with Nebula’s powerful sourcing and matching technology.",Sourcing & Search,https://media.licdn.com/dms/image/v2/D4E0BAQFEuUj7GuspHQ/company-logo_200_200/company-logo_200_200/0/1715606181782/nebula_io_logo?e=1759363200&v=beta&t=7hlo4UA3jJs2PhY69bNccCKJVp5XTpGtzWAYB14_GhM,nebula,TRUE
Serra,https://www.serra.io/,Your 24/7 AI Recruiter,"Serra is an AI recruiter that fully automates candidate sourcing and outreach, finding ideal talent from LinkedIn, GitHub, Crunchbase, and your ATS. Companies hiring Serra skip sourcing entirely and simply get qualified interviews on their calendar.",Sourcing & Search,https://media.licdn.com/dms/image/v2/D560BAQFXuYI01sn7hg/company-logo_200_200/company-logo_200_200/0/1687681283639?e=1759363200&v=beta&t=eqATa2gfVtbD6ZjTlAGoP5N7OIfXNJK6YKbJZb1qgrY,serra,FALSE
